frame_id,inference_time_ms,num_detections,timestamp
1,1194.74,6,1770188841.3874493
2,20.60,6,1770188842.0589867
3,29.52,6,1770188843.7780647
4,22.59,6,1770188845.4173927
5,30.39,6,1770188847.1246088
6,20.39,6,1770188848.9950564
7,25.48,6,1770188850.7732277
8,25.41,6,1770188852.4858327
9,21.05,6,1770188854.1903434
10,22.58,6,1770188855.917051
11,19.98,6,1770188857.4556959
12,22.82,6,1770188858.652976
13,20.47,6,1770188859.8417027
14,15.12,6,1770188861.1301644
15,21.74,6,1770188862.3613434
16,26.23,6,1770188863.9492712
17,33.10,6,1770188865.5311768
18,26.85,6,1770188867.0112245
19,20.42,6,1770188868.403233
20,32.66,6,1770188869.9552596
21,65.66,6,1770188871.7842312
22,26.76,6,1770188873.6170883
23,34.24,6,1770188875.5427592
24,39.16,6,1770188877.4940143
25,25.26,6,1770188879.3224576
26,21.24,6,1770188881.3880463
27,22.97,6,1770188883.22558
28,28.05,6,1770188885.0482335
29,22.72,6,1770188887.1841881
30,24.67,6,1770188888.9911332
31,34.03,6,1770188890.9350238
32,40.13,6,1770188892.93287
33,24.65,6,1770188894.8735042
34,20.46,6,1770188896.8313913
35,49.98,6,1770188898.7627401
36,25.24,6,1770188900.5442271
37,37.49,6,1770188902.2382588
38,20.42,6,1770188903.3685527
39,21.37,6,1770188904.616807
40,17.72,6,1770188905.7799082
41,19.99,6,1770188907.0848763
42,22.85,6,1770188908.4322085
