epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7176,0.60201,12.0565,0.58034,0.06201,0.17123,0.04609,0.03661,0.18683,3.54579,0.2138,0.000469808,0.000469808,0.000469808
2,93.6831,0.2345,1.81541,0.15486,0.09966,0.39601,0.13239,0.11914,0.09441,2.37492,0.09427,0.000936775,0.000936775,0.000936775
3,138.365,0.21346,1.07453,0.13016,0.42209,0.4068,0.27361,0.23366,0.15666,0.86813,0.17536,0.00139431,0.00139431,0.00139431
4,182.73,0.27222,0.87295,0.17942,0.53798,0.3602,0.22569,0.18967,0.17644,1.07474,0.23727,0.00138656,0.00138656,0.00138656
5,222.945,0.22181,0.91929,0.14851,0.29708,0.30994,0.16697,0.13974,0.23673,1.14056,0.36537,0.00137241,0.00137241,0.00137241
6,263.977,0.26508,0.91296,0.17525,0.49851,0.52512,0.44885,0.39381,0.13479,0.76762,0.15493,0.00135826,0.00135826,0.00135826
7,307.249,0.24048,0.81272,0.17173,0.71411,0.71716,0.55188,0.47056,0.15794,0.72186,0.19203,0.00134412,0.00134412,0.00134412
8,349.361,0.3033,0.74945,0.19496,0.85568,0.86341,0.81217,0.68445,0.15156,0.6046,0.19987,0.00132997,0.00132997,0.00132997
9,392.045,0.27516,0.75101,0.18864,0.81024,0.81652,0.84721,0.7295,0.14926,0.60367,0.17706,0.00131582,0.00131582,0.00131582
10,435.287,0.24381,0.66074,0.16697,0.88048,0.66354,0.69814,0.56438,0.26606,0.75842,0.36677,0.00130168,0.00130168,0.00130168
11,475.921,0.24383,0.54315,0.17015,0.73911,0.74701,0.81084,0.70037,0.20869,0.71471,0.26464,0.00128753,0.00128753,0.00128753
12,516.214,0.21331,0.43753,0.12302,0.88033,0.7152,0.8094,0.71888,0.19671,0.6604,0.22,0.00127338,0.00127338,0.00127338
13,558.673,0.20234,0.39785,0.13176,0.88084,0.78243,0.82619,0.72464,0.21489,0.56298,0.27411,0.00125923,0.00125923,0.00125923
14,600.672,0.2141,0.4229,0.13723,0.90937,0.82016,0.87556,0.81087,0.12419,0.43216,0.14388,0.00124509,0.00124509,0.00124509
15,648.193,0.19691,0.42358,0.13218,0.93069,0.88734,0.91748,0.85254,0.10703,0.42414,0.12326,0.00123094,0.00123094,0.00123094
16,700.374,0.20208,0.44422,0.12589,0.80251,0.63188,0.64634,0.57656,0.13385,0.83078,0.15184,0.00121679,0.00121679,0.00121679
17,741.208,0.18448,0.36266,0.12154,0.80557,0.7338,0.75874,0.69584,0.1542,0.67881,0.22503,0.00120265,0.00120265,0.00120265
18,781.171,0.18857,0.37099,0.12104,0.84872,0.78434,0.87833,0.81124,0.10019,0.58238,0.11116,0.0011885,0.0011885,0.0011885
19,821.079,0.17351,0.35239,0.10063,0.76344,0.58036,0.54111,0.5048,0.11533,1.04292,0.12446,0.00117435,0.00117435,0.00117435
