epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8332,0.65773,3.08187,1.00564,0.00872,1,0.3367,0.27681,0.5196,3.04855,0.85677,0.000463459,0.000463459,0.000463459
2,23.895,0.70337,2.50179,0.94875,0.79031,0.0943,0.49337,0.42389,0.52614,2.65864,0.85771,0.000930489,0.000930489,0.000930489
3,31.8249,0.72772,2.00891,0.98838,0.52342,0.76164,0.54549,0.40719,0.69965,2.19038,1.11333,0.00138809,0.00138809,0.00138809
4,38.5585,0.76295,1.65893,1.02237,0.61417,0.68207,0.74157,0.5914,0.624,2.90297,0.93395,0.00138656,0.00138656,0.00138656
5,45.4032,0.74102,1.4631,1.01057,0.73059,0.88383,0.87238,0.69676,0.6171,2.65777,0.97223,0.00137241,0.00137241,0.00137241
6,52.2781,0.72598,1.31725,0.99926,0.73198,0.80095,0.78116,0.64351,0.66021,1.43576,0.98892,0.00135826,0.00135826,0.00135826
7,58.7279,0.68382,1.14983,0.97524,0.85953,0.89393,0.89848,0.7888,0.53457,1.19614,0.91983,0.00134412,0.00134412,0.00134412
8,65.7498,0.64733,1.14643,0.96923,0.62614,0.6573,0.60872,0.51853,0.59832,1.74656,0.97863,0.00132997,0.00132997,0.00132997
9,72.3892,0.65224,1.13468,0.97628,0.52362,0.63883,0.65766,0.57998,0.55188,1.93745,0.92447,0.00131582,0.00131582,0.00131582
10,78.7745,0.63504,1.05574,0.96842,0.93226,0.92361,0.98917,0.88767,0.50773,1.14846,0.90074,0.00130168,0.00130168,0.00130168
11,85.6508,0.63278,1.00516,0.9633,0.96788,0.95094,0.9915,0.88865,0.49585,0.88909,0.89532,0.00128753,0.00128753,0.00128753
12,92.1895,0.61562,0.97275,0.94664,0.90773,0.9403,0.98328,0.87676,0.49355,0.89073,0.88832,0.00127338,0.00127338,0.00127338
13,98.475,0.60271,0.90748,0.94978,0.95303,0.9718,0.98491,0.8812,0.51074,0.89174,0.90881,0.00125923,0.00125923,0.00125923
14,105.266,0.60249,0.86606,0.95099,0.95827,0.99099,0.99009,0.87762,0.50506,0.8553,0.90099,0.00124509,0.00124509,0.00124509
15,112.558,0.62276,0.86542,0.94805,0.94212,0.99852,0.99316,0.87677,0.49377,0.86126,0.90012,0.00123094,0.00123094,0.00123094
16,119.942,0.61286,0.84691,0.96007,0.9553,0.99652,0.99394,0.8956,0.46036,0.80372,0.89933,0.00121679,0.00121679,0.00121679
17,127.382,0.57924,0.85787,0.93921,0.97689,0.97335,0.99024,0.90218,0.47,0.75187,0.89248,0.00120265,0.00120265,0.00120265
18,134.702,0.58114,0.80192,0.93823,0.97559,0.99837,0.98722,0.87771,0.48858,0.75048,0.90066,0.0011885,0.0011885,0.0011885
19,142.299,0.5525,0.78502,0.93252,0.9767,1,0.99417,0.89618,0.47747,0.65685,0.88665,0.00117435,0.00117435,0.00117435
20,149.63,0.54313,0.77453,0.93273,0.98057,0.987,0.99355,0.89441,0.46719,0.65914,0.88798,0.00116021,0.00116021,0.00116021
21,157.12,0.53595,0.75724,0.91998,0.98089,0.99058,0.99283,0.90625,0.42742,0.65514,0.87986,0.00114606,0.00114606,0.00114606
22,164.813,0.54934,0.77625,0.93331,0.93321,0.99718,0.98325,0.88084,0.4651,0.75532,0.88719,0.00113191,0.00113191,0.00113191
23,172.096,0.54621,0.7481,0.92433,0.96848,0.99333,0.98843,0.91139,0.43431,0.6822,0.8765,0.00111776,0.00111776,0.00111776
24,179.57,0.50797,0.67752,0.90757,0.96592,0.98906,0.99193,0.89654,0.45015,0.65655,0.88097,0.00110362,0.00110362,0.00110362
25,186.743,0.53548,0.70242,0.91889,0.945,0.993,0.99162,0.90136,0.43719,0.64315,0.88403,0.00108947,0.00108947,0.00108947
26,193.968,0.54786,0.72267,0.93474,0.95707,0.99885,0.99483,0.91202,0.44039,0.62089,0.88056,0.00107532,0.00107532,0.00107532
27,201.598,0.50041,0.71034,0.91088,0.97201,0.99392,0.99383,0.89741,0.4725,0.61984,0.8869,0.00106118,0.00106118,0.00106118
28,208.991,0.5181,0.66446,0.92926,0.96729,0.99982,0.99209,0.90308,0.4329,0.60553,0.87794,0.00104703,0.00104703,0.00104703
29,216.243,0.48549,0.65104,0.90009,0.99508,0.99547,0.995,0.90535,0.43035,0.60831,0.87516,0.00103288,0.00103288,0.00103288
30,223.487,0.49748,0.67763,0.92071,0.99407,0.9954,0.995,0.91124,0.43291,0.58689,0.88005,0.00101873,0.00101873,0.00101873
31,231.067,0.51928,0.66976,0.91781,0.97999,0.99548,0.99423,0.90791,0.42652,0.58361,0.88063,0.00100459,0.00100459,0.00100459
32,238.334,0.47919,0.67306,0.91832,0.9698,0.99443,0.9877,0.90925,0.41095,0.60041,0.87141,0.00099044,0.00099044,0.00099044
33,245.732,0.4958,0.64877,0.90524,0.98782,0.99123,0.99124,0.92388,0.4036,0.63969,0.87517,0.000976293,0.000976293,0.000976293
34,253.289,0.47191,0.61212,0.90013,0.97288,0.98246,0.99326,0.92161,0.41244,0.57481,0.87581,0.000962146,0.000962146,0.000962146
35,260.841,0.48698,0.64513,0.92383,0.99122,1,0.995,0.93155,0.40335,0.52928,0.87276,0.000947999,0.000947999,0.000947999
36,268.293,0.51498,0.64979,0.91079,0.94717,0.99706,0.99356,0.91682,0.41527,0.60115,0.87429,0.000933851,0.000933851,0.000933851
37,274.628,0.50934,0.61938,0.91258,0.98994,0.99123,0.99467,0.91238,0.42622,0.5611,0.87617,0.000919704,0.000919704,0.000919704
38,281.998,0.47159,0.59951,0.89247,0.9842,0.99103,0.99467,0.92101,0.38554,0.51933,0.86604,0.000905557,0.000905557,0.000905557
39,289.221,0.48543,0.59824,0.91186,0.98067,0.99872,0.99415,0.90839,0.42017,0.54434,0.87207,0.00089141,0.00089141,0.00089141
40,296.657,0.50841,0.60896,0.90414,0.98811,0.9915,0.99372,0.9212,0.39606,0.55701,0.87037,0.000877263,0.000877263,0.000877263
41,304.331,0.47968,0.59968,0.89869,0.98757,1,0.99124,0.91404,0.39182,0.51377,0.86913,0.000863116,0.000863116,0.000863116
42,311.18,0.458,0.57836,0.9063,0.95314,0.98313,0.98379,0.90977,0.40225,0.54116,0.87344,0.000848969,0.000848969,0.000848969
43,318.848,0.4592,0.56194,0.91643,0.98427,0.98246,0.99218,0.91404,0.41484,0.53357,0.87275,0.000834822,0.000834822,0.000834822
44,326.463,0.46212,0.55234,0.8973,0.98761,0.99123,0.98761,0.90245,0.41449,0.53484,0.87415,0.000820675,0.000820675,0.000820675
45,333.08,0.48059,0.57903,0.90448,0.97606,0.99453,0.99167,0.91285,0.42964,0.51035,0.87977,0.000806528,0.000806528,0.000806528
46,339.514,0.50928,0.59337,0.92371,0.98753,1,0.995,0.9259,0.40153,0.47756,0.86969,0.00079238,0.00079238,0.00079238
47,343.799,0.44067,0.53958,0.88757,0.99498,1,0.995,0.93046,0.3961,0.4836,0.86712,0.000778233,0.000778233,0.000778233
48,347.507,0.45429,0.52898,0.89273,0.98544,1,0.99457,0.93739,0.38294,0.47903,0.86562,0.000764086,0.000764086,0.000764086
49,351.548,0.46954,0.55618,0.90194,0.97256,1,0.99167,0.91243,0.40393,0.49634,0.87026,0.000749939,0.000749939,0.000749939
50,355.492,0.49213,0.53939,0.91495,0.96986,1,0.98818,0.90186,0.41213,0.50878,0.87029,0.000735792,0.000735792,0.000735792
51,359.258,0.46722,0.53138,0.90063,0.9641,0.99229,0.98849,0.91226,0.41215,0.4963,0.86817,0.000721645,0.000721645,0.000721645
52,363.049,0.45687,0.53898,0.89413,0.98164,0.99123,0.99013,0.91774,0.37938,0.45762,0.86235,0.000707498,0.000707498,0.000707498
53,366.527,0.43988,0.51112,0.89338,0.96577,1,0.98959,0.91894,0.37848,0.45809,0.864,0.000693351,0.000693351,0.000693351
54,370.27,0.4302,0.50951,0.88829,0.96258,1,0.98774,0.92573,0.37314,0.46637,0.86277,0.000679204,0.000679204,0.000679204
55,373.855,0.44147,0.49855,0.88993,0.96628,0.99582,0.98071,0.9122,0.36599,0.48027,0.86172,0.000665057,0.000665057,0.000665057
56,377.527,0.41941,0.5149,0.89414,0.95681,0.99123,0.97503,0.91466,0.36831,0.46182,0.85829,0.000650909,0.000650909,0.000650909
57,381.172,0.4371,0.47735,0.8832,0.95785,1,0.99014,0.93671,0.37097,0.43856,0.8566,0.000636762,0.000636762,0.000636762
58,384.936,0.43877,0.48037,0.88908,0.96958,0.99878,0.98993,0.9308,0.35825,0.43835,0.85433,0.000622615,0.000622615,0.000622615
59,388.587,0.45015,0.4884,0.8864,0.98613,1,0.99141,0.93345,0.35525,0.42754,0.85437,0.000608468,0.000608468,0.000608468
60,392.151,0.42479,0.48114,0.89351,0.98711,1,0.99235,0.93797,0.3667,0.43101,0.85776,0.000594321,0.000594321,0.000594321
61,395.738,0.39667,0.4739,0.88067,0.98734,1,0.995,0.93501,0.37341,0.42719,0.86059,0.000580174,0.000580174,0.000580174
62,399.369,0.41417,0.4628,0.88053,0.98853,1,0.995,0.93569,0.36733,0.4224,0.8602,0.000566027,0.000566027,0.000566027
63,403.228,0.40996,0.46273,0.89235,0.98053,1,0.995,0.93543,0.37059,0.4228,0.86066,0.00055188,0.00055188,0.00055188
64,406.878,0.422,0.46652,0.88779,0.9877,1,0.995,0.93455,0.37411,0.39748,0.86088,0.000537733,0.000537733,0.000537733
65,410.5,0.40257,0.44467,0.87075,0.99761,0.99712,0.995,0.94796,0.34773,0.39416,0.85528,0.000523586,0.000523586,0.000523586
66,414.237,0.41909,0.45669,0.89057,0.9945,1,0.995,0.94446,0.35348,0.4014,0.85702,0.000509438,0.000509438,0.000509438
67,417.788,0.41919,0.44936,0.8811,0.99343,1,0.995,0.93899,0.36256,0.39954,0.86019,0.000495291,0.000495291,0.000495291
68,421.486,0.40879,0.47583,0.87398,0.98831,1,0.99457,0.93987,0.36275,0.39185,0.85689,0.000481144,0.000481144,0.000481144
69,425.166,0.41788,0.46328,0.87894,0.98728,1,0.99483,0.94549,0.35575,0.38645,0.85329,0.000466997,0.000466997,0.000466997
70,428.868,0.38846,0.43727,0.87803,0.98805,1,0.99483,0.94548,0.3572,0.37657,0.85203,0.00045285,0.00045285,0.00045285
71,432.331,0.3882,0.43019,0.8825,0.98856,1,0.995,0.94359,0.35622,0.37719,0.85224,0.000438703,0.000438703,0.000438703
72,435.774,0.39981,0.41992,0.87252,0.98928,1,0.995,0.94212,0.34699,0.38413,0.85051,0.000424556,0.000424556,0.000424556
73,439.439,0.40061,0.43344,0.87871,0.99178,1,0.995,0.93701,0.34601,0.38125,0.84821,0.000410409,0.000410409,0.000410409
74,443.023,0.40338,0.42634,0.89072,0.98874,1,0.995,0.93099,0.35646,0.38022,0.85238,0.000396262,0.000396262,0.000396262
75,446.777,0.40096,0.42658,0.8784,0.98942,1,0.995,0.93246,0.35189,0.38325,0.85069,0.000382115,0.000382115,0.000382115
